Date,State,Handgun,Longgun,Multiples,Totals,Year,Month
2016-11-01,New Hampshire,6283.0,4822.0,4,15256,2016,11
2016-11-01,New Jersey,5398.0,5720.0,0,11317,2016,11
2016-11-01,New Mexico,6153.0,6034.0,356,15116,2016,11
2016-11-01,New York,11157.0,25229.0,248,43009,2016,11
2016-11-01,North Carolina,1709.0,23215.0,262,59658,2016,11
2016-11-01,North Dakota,1827.0,3546.0,98,6494,2016,11
2016-11-01,Ohio,37304.0,32312.0,1694,88928,2016,11
2016-11-01,Oklahoma,16348.0,17019.0,1088,40123,2016,11
2016-11-01,Oregon,17013.0,15711.0,0,33555,2016,11
2016-11-01,Pennsylvania,66188.0,20487.0,0,118378,2016,11
2016-11-01,Puerto Rico,1323.0,204.0,34,1590,2016,11
2016-11-01,Rhode Island,1271.0,1065.0,201,2658,2016,11
2016-11-01,South Carolina,12839.0,11547.0,558,39711,2016,11
2016-11-01,South Dakota,3456.0,5677.0,209,11622,2016,11
2016-11-01,Tennessee,29502.0,25976.0,0,74722,2016,11
2016-11-01,Texas,58778.0,56057.0,3760,157519,2016,11
2016-11-01,Utah,5232.0,7021.0,0,26928,2016,11
2016-11-01,Vermont,1342.0,1975.0,73,3503,2016,11
2016-11-01,Virgin Islands,17.0,5.0,0,76,2016,11
2016-11-01,Virginia,29544.0,26823.0,0,58362,2016,11
2016-11-01,Washington,19534.0,16266.0,808,56963,2016,11
2016-11-01,West Virginia,7824.0,11134.0,465,25378,2016,11
2016-11-01,Wisconsin,17580.0,19631.0,34,65277,2016,11
2016-11-01,Wyoming,2097.0,2691.0,125,5814,2016,11
2016-10-01,Alabama,7757.0,8865.0,429,43251,2016,10
2016-10-01,Alaska,3906.0,3949.0,274,9383,2016,10
2016-10-01,Arizona,12405.0,9382.0,681,34134,2016,10
2016-10-01,Arkansas,5607.0,8235.0,373,22709,2016,10
2016-10-01,California,45785.0,54333.0,0,180968,2016,10
2016-10-01,Colorado,20343.0,16962.0,1329,45337,2016,10
2016-10-01,Connecticut,6374.0,2698.0,0,16048,2016,10
2016-10-01,Delaware,2070.0,2082.0,107,5757,2016,10
2016-10-01,District of Columbia,59.0,2.0,0,61,2016,10
2016-10-01,Florida,50003.0,27010.0,2302,111657,2016,10
2016-10-01,Georgia,13799.0,12262.0,664,48308,2016,10
2016-10-01,Guam,127.0,72.0,4,220,2016,10
2016-10-01,Hawaii,0.0,0.0,0,1277,2016,10
